,Best CV Accuracy,Best k (CV)
euclidean,0.9665079365079364,7
manhattan,0.9776190476190475,11
chebyshev,0.938095238095238,19
minkowski_p3,0.9552380952380952,17
minkowski_p4,0.9550793650793651,23
cosine,0.9663492063492063,11
mahalanobis,0.9158730158730158,7
