,precision,recall,f1-score,support
0,0.9333333333333333,1.0,0.9655172413793104,14.0
1,1.0,0.8571428571428571,0.9230769230769231,14.0
2,0.8888888888888888,1.0,0.9411764705882353,8.0
accuracy,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444
macro avg,0.9407407407407407,0.9523809523809524,0.9432568783481562,36.0
weighted avg,0.9493827160493827,0.9444444444444444,0.9436036129748098,36.0
