,precision,recall,f1-score,support
0,0.875,1.0,0.9333333333333333,14.0
1,1.0,0.8571428571428571,0.9230769230769231,14.0
2,1.0,1.0,1.0,8.0
accuracy,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444
macro avg,0.9583333333333334,0.9523809523809524,0.9521367521367522,36.0
weighted avg,0.9513888888888888,0.9444444444444444,0.9441595441595442,36.0
