,precision,recall,f1-score,support
0,1.0,1.0,1.0,14.0
1,1.0,0.9285714285714286,0.9629629629629629,14.0
2,0.8888888888888888,1.0,0.9411764705882353,8.0
accuracy,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.9722222222222222
macro avg,0.9629629629629629,0.9761904761904763,0.9680464778503994,36.0
weighted avg,0.9753086419753088,0.9722222222222222,0.9725248123940935,36.0
