,precision,recall,f1-score,support
0,0.926829268292683,0.8837209302325582,0.9047619047619048,43.0
1,0.9315068493150684,0.9577464788732394,0.9444444444444444,71.0
accuracy,0.9298245614035088,0.9298245614035088,0.9298245614035088,0.9298245614035088
macro avg,0.9291680588038758,0.9207337045528987,0.9246031746031746,114.0
weighted avg,0.9297424985785546,0.9298245614035088,0.9294764689501532,114.0
