,precision,recall,f1-score,support
0,0.9302325581395349,0.9302325581395349,0.9302325581395349,43.0
1,0.9577464788732394,0.9577464788732394,0.9577464788732394,71.0
accuracy,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9473684210526315
macro avg,0.9439895185063871,0.9439895185063871,0.9439895185063871,114.0
weighted avg,0.9473684210526315,0.9473684210526315,0.9473684210526315,114.0
