,precision,recall,f1-score,support
0,0.8787878787878788,0.6744186046511628,0.7631578947368421,43.0
1,0.8271604938271605,0.9436619718309859,0.881578947368421,71.0
accuracy,0.8421052631578947,0.8421052631578947,0.8421052631578947,0.8421052631578947
macro avg,0.8529741863075196,0.8090402882410743,0.8223684210526316,114.0
weighted avg,0.8466339811369051,0.8421052631578947,0.8369113573407203,114.0
