,precision,recall,f1-score,support
0,0.9333333333333333,0.9767441860465116,0.9545454545454546,43.0
1,0.9855072463768116,0.9577464788732394,0.9714285714285714,71.0
accuracy,0.9649122807017544,0.9649122807017544,0.9649122807017544,0.9649122807017544
macro avg,0.9594202898550726,0.9672453324598755,0.9629870129870131,114.0
weighted avg,0.9658276125095346,0.9649122807017544,0.965060378218273,114.0
