,precision,recall,f1-score,support
0,1.0,1.0,1.0,10.0
1,0.8888888888888888,0.8888888888888888,0.8888888888888888,9.0
2,0.9090909090909091,0.9090909090909091,0.9090909090909091,11.0
accuracy,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333
macro avg,0.9326599326599326,0.9326599326599326,0.9326599326599326,30.0
weighted avg,0.9333333333333333,0.9333333333333333,0.9333333333333333,30.0
