,Best CV Accuracy,Best k (CV)
euclidean,0.9701288619779538,7
manhattan,0.9701133364384411,4
chebyshev,0.9419810588417947,3
minkowski_p3,0.9648191274646795,3
minkowski_p4,0.9630802670392795,5
cosine,0.9666200900481291,7
mahalanobis,0.8646949231485793,2
